ACTIVITY DATE/TIME,CALORIES,STEPS,DISTANCE,FLOORS
2017-07-08 14:33:00,3.92755007743835,0,0,0
2017-07-08 14:34:00,3.29064989089966,0,0,0
2017-07-08 14:35:00,1.37995004653931,0,0,0
2017-07-08 14:36:00,3.07835006713867,0,0,0
2017-07-08 14:37:00,1.37995004653931,0,0,0
2017-07-08 14:38:00,1.37995004653931,0,0,0
2017-07-08 14:39:00,3.18449997901917,6,0.00439999997615814,0
2017-07-08 14:40:00,2.54760003089905,1,0.000699999975040555,0
2017-07-08 14:41:00,1.37995004653931,0,0,0
2017-07-08 14:42:00,3.6091001033783,16,0.0118000004440546,1
2017-07-08 14:43:00,1.37995004653931,0,0,0
2017-07-08 14:44:00,1.37995004653931,0,0,0
2017-07-08 14:45:00,3.6091001033783,31,0.02280000038445,0
2017-07-08 14:46:00,4.24599981307983,64,0.0472000017762184,0
2017-07-08 14:47:00,4.67059993743896,69,0.0509000010788441,0
2017-07-08 14:48:00,4.03369998931885,29,0.0214000009000301,0
2017-07-08 14:49:00,4.67059993743896,70,0.0516000017523766,0
2017-07-08 14:50:00,4.03369998931885,34,0.025000000372529,0
2017-07-08 14:51:00,5.0952000617981,62,0.0456999987363815,0
2017-07-08 14:52:00,5.0952000617981,74,0.0546000003814697,0
2017-07-08 14:53:00,5.51980018615723,78,0.0575000010430813,0
2017-07-08 14:54:00,4.45830011367798,25,0.0184000004082918,0
2017-07-08 14:55:00,4.67059993743896,38,0.0280000008642673,0
2017-07-08 14:56:00,1.37995004653931,0,0,0
2017-07-08 14:57:00,4.67059993743896,64,0.0472000017762184,0
2017-07-08 14:58:00,3.82139992713928,16,0.0118000004440546,0
2017-07-08 14:59:00,4.03369998931885,4,0.00289999996311963,0
2017-07-08 15:00:00,3.50294995307922,0,0,0
2017-07-08 15:01:00,4.24599981307983,22,0.0162000004202127,0
2017-07-08 15:02:00,4.24599981307983,49,0.0361000001430511,0
2017-07-08 15:03:00,4.67059993743896,62,0.0456999987363815,0
2017-07-08 15:04:00,5.73210000991821,85,0.0627000033855438,0
2017-07-08 15:05:00,6.36899995803833,101,0.0745000019669533,1
2017-07-08 15:06:00,4.45830011367798,32,0.0236000008881092,0
2017-07-08 15:07:00,5.73210000991821,77,0.0568000003695488,0
2017-07-08 15:08:00,7.00589990615845,106,0.0781999975442886,1
2017-07-08 15:09:00,7.00589990615845,108,0.0797000005841255,0
2017-07-08 15:10:00,6.15670013427734,97,0.0715000033378601,0
2017-07-08 15:11:00,5.30749988555908,38,0.0280000008642673,0
2017-07-08 15:12:00,5.30749988555908,52,0.0383000001311302,0
2017-07-08 15:13:00,7.21820020675659,99,0.0729999989271164,2
2017-07-08 15:14:00,6.58129978179932,90,0.0663999989628792,1
2017-07-08 15:15:00,7.00589990615845,89,0.0656000003218651,2
2017-07-08 15:16:00,6.15670013427734,82,0.0604999996721745,0
2017-07-08 15:17:00,6.15670013427734,72,0.0531000010669231,0
2017-07-08 15:18:00,7.21820020675659,119,0.0878000035881996,1
2017-07-08 15:19:00,6.79360008239746,106,0.0781999975442886,0
2017-07-08 15:20:00,6.79360008239746,87,0.0641999989748001,0
2017-07-08 15:21:00,6.79360008239746,89,0.0656000003218651,0
2017-07-08 15:22:00,7.21820020675659,118,0.0869999974966049,1
2017-07-08 15:23:00,7.21820020675659,114,0.0841000005602837,0
2017-07-08 15:24:00,7.21820020675659,113,0.0833000019192696,1
2017-07-08 15:25:00,7.43050003051758,115,0.0847999975085258,2
2017-07-08 15:26:00,7.21820020675659,113,0.0833000019192696,1
2017-07-08 15:27:00,7.00589990615845,109,0.0803999975323677,1
2017-07-08 15:28:00,6.79360008239746,100,0.0737999975681305,0
2017-07-08 15:29:00,7.21820020675659,113,0.0833000019192696,1
2017-07-08 15:30:00,7.00589990615845,78,0.0575000010430813,0
2017-07-08 15:31:00,6.79360008239746,112,0.0825999975204468,0
2017-07-08 15:32:00,7.21820020675659,115,0.0847999975085258,0
2017-07-08 15:33:00,7.00589990615845,95,0.0701000019907951,0
2017-07-08 15:34:00,7.00589990615845,95,0.0701000019907951,0
2017-07-08 15:35:00,6.36899995803833,112,0.0825999975204468,0
2017-07-08 15:36:00,5.30749988555908,108,0.0797000005841255,0
2017-07-08 15:37:00,4.88290023803711,81,0.0597000010311604,0
2017-07-08 15:38:00,6.36899995803833,63,0.046399999409914,0
2017-07-08 15:39:00,5.9443998336792,83,0.0612000003457069,0
2017-07-08 15:40:00,6.58129978179932,107,0.0789000019431114,0
2017-07-08 15:41:00,6.79360008239746,115,0.0847999975085258,0
2017-07-08 15:42:00,5.9443998336792,105,0.0773999989032745,0
2017-07-08 15:43:00,5.73210000991821,103,0.0759999975562096,0
2017-07-08 15:44:00,6.58129978179932,117,0.0863000005483627,0
2017-07-08 15:45:00,7.00589990615845,110,0.0811000019311905,1
2017-07-08 15:46:00,6.79360008239746,115,0.0847999975085258,0
2017-07-08 15:47:00,5.73210000991821,64,0.0472000017762184,0
2017-07-08 15:48:00,6.79360008239746,109,0.0803999975323677,0
2017-07-08 15:49:00,5.9443998336792,68,0.0500999987125397,0
2017-07-08 15:50:00,5.9443998336792,118,0.0869999974966049,0
2017-07-08 15:51:00,6.79360008239746,88,0.0649000033736229,1
2017-07-08 15:52:00,7.21820020675659,117,0.0863000005483627,1
2017-07-08 15:53:00,7.21820020675659,103,0.0759999975562096,1
2017-07-08 15:54:00,5.9443998336792,68,0.0500999987125397,1
2017-07-08 15:55:00,7.64279985427856,96,0.0707999989390373,2
2017-07-08 15:56:00,7.00589990615845,100,0.0737999975681305,1
2017-07-08 15:57:00,6.58129978179932,93,0.0685999989509583,1
2017-07-08 15:58:00,6.15670013427734,99,0.0729999989271164,0
2017-07-08 15:59:00,4.67059993743896,50,0.0368999987840652,0
2017-07-08 16:00:00,5.0952000617981,56,0.0412999987602234,0
2017-07-08 16:01:00,4.67059993743896,64,0.0472000017762184,0
2017-07-08 16:02:00,4.03369998931885,18,0.0131999999284744,0
2017-07-08 16:03:00,4.88290023803711,58,0.0428000018000603,0
2017-07-08 16:04:00,4.45830011367798,22,0.0162000004202127,0
2017-07-08 16:05:00,5.0952000617981,47,0.0346000008285046,1
2017-07-08 16:06:00,4.24599981307983,44,0.0324000008404255,0
2017-07-08 16:07:00,1.37995004653931,0,0,0
2017-07-08 16:08:00,1.16764998435974,0,0,0
2017-07-08 16:09:00,1.37995004653931,0,0,0
2017-07-08 16:10:00,1.37995004653931,0,0,0
2017-07-08 16:11:00,1.27380001544952,0,0,0
2017-07-08 16:12:00,1.37995004653931,0,0,0
2017-07-08 16:13:00,1.37995004653931,0,0,0
2017-07-08 16:14:00,1.27380001544952,0,0,0
2017-07-08 16:15:00,1.37995004653931,0,0,0
2017-07-08 16:16:00,3.18449997901917,17,0.0125000001862645,0
2017-07-08 16:17:00,2.9721999168396,8,0.0059000002220273,0
2017-07-08 16:18:00,2.75990009307861,8,0.0059000002220273,0
2017-07-08 16:19:00,3.39680004119873,37,0.0273000001907349,0
2017-07-08 16:20:00,3.82139992713928,44,0.0324000008404255,0
2017-07-08 16:21:00,4.88290023803711,55,0.0405000001192093,0
2017-07-08 16:22:00,5.0952000617981,59,0.0434999987483025,0
2017-07-08 16:23:00,4.88290023803711,48,0.0353999994695187,0
2017-07-08 16:24:00,4.67059993743896,46,0.0339000001549721,0
2017-07-08 16:25:00,4.67059993743896,49,0.0361000001430511,0
2017-07-08 16:26:00,3.6091001033783,23,0.0168999992311001,0
