HEART RATE DATE/TIME,VALUE
2017-07-08 11:55:07,94
2017-07-08 11:55:12,93
2017-07-08 11:55:17,88
2017-07-08 11:55:22,86
2017-07-08 11:55:37,82
2017-07-08 11:55:47,85
2017-07-08 11:55:52,88
2017-07-08 11:55:57,92
2017-07-08 11:56:02,94
2017-07-08 11:56:07,95
2017-07-08 11:56:12,91
2017-07-08 11:56:18,92
2017-07-08 11:56:23,89
2017-07-08 11:56:28,89
2017-07-08 11:56:33,91
2017-07-08 11:56:38,90
2017-07-08 11:56:48,91
2017-07-08 11:56:53,90
2017-07-08 11:56:58,91
2017-07-08 11:57:03,95
2017-07-08 11:57:08,98
2017-07-08 11:57:13,99
2017-07-08 11:57:18,96
2017-07-08 11:57:23,91
2017-07-08 11:57:33,92
2017-07-08 11:57:38,91
2017-07-08 11:57:43,88
2017-07-08 11:57:53,89
2017-07-08 11:57:58,90
2017-07-08 11:58:03,91
2017-07-08 11:58:08,89
2017-07-08 11:58:13,90
2017-07-08 11:58:18,93
2017-07-08 11:58:23,96
2017-07-08 11:58:28,98
2017-07-08 11:58:33,100
2017-07-08 11:58:38,98
2017-07-08 11:58:43,95
2017-07-08 11:58:50,96
2017-07-08 11:59:05,97
2017-07-08 11:59:10,98
2017-07-08 11:59:15,96
2017-07-08 11:59:20,93
2017-07-08 11:59:30,91
2017-07-08 11:59:45,93
2017-07-08 11:59:50,95
2017-07-08 11:59:55,98
2017-07-08 12:00:00,101
2017-07-08 12:00:05,103
2017-07-08 12:00:10,104
2017-07-08 12:00:15,107
2017-07-08 12:00:20,109
2017-07-08 12:00:25,110
2017-07-08 12:00:35,112
2017-07-08 12:00:40,113
2017-07-08 12:00:45,114
2017-07-08 12:00:50,115
2017-07-08 12:00:55,116
2017-07-08 12:01:00,115
2017-07-08 12:01:05,113
2017-07-08 12:01:10,114
2017-07-08 12:01:15,116
2017-07-08 12:01:20,115
2017-07-08 12:01:30,112
2017-07-08 12:01:40,113
2017-07-08 12:01:46,114
2017-07-08 12:01:56,112
2017-07-08 12:02:01,110
2017-07-08 12:02:06,110
2017-07-08 12:02:11,107
2017-07-08 12:02:16,102
2017-07-08 12:02:21,104
2017-07-08 12:02:26,102
2017-07-08 12:02:31,103
2017-07-08 12:02:41,104
2017-07-08 12:02:46,107
2017-07-08 12:02:51,110
2017-07-08 12:02:56,112
2017-07-08 12:03:01,116
2017-07-08 12:03:06,118
2017-07-08 12:03:11,119
2017-07-08 12:03:16,123
2017-07-08 12:03:21,125
2017-07-08 12:03:26,126
2017-07-08 12:03:31,125
2017-07-08 12:03:36,124
2017-07-08 12:03:41,123
2017-07-08 12:03:46,126
2017-07-08 12:03:51,124
2017-07-08 12:03:56,121
2017-07-08 12:04:01,117
2017-07-08 12:04:06,116
2017-07-08 12:04:12,114
2017-07-08 12:04:27,115
2017-07-08 12:04:32,116
2017-07-08 12:04:37,117
2017-07-08 12:04:47,114
2017-07-08 12:04:52,113
2017-07-08 12:05:02,114
2017-07-08 12:05:07,116
2017-07-08 12:05:12,117
2017-07-08 12:05:17,117
2017-07-08 12:05:27,120
2017-07-08 12:05:32,120
2017-07-08 12:05:37,122
2017-07-08 12:05:42,123
2017-07-08 12:05:47,124
2017-07-08 12:05:52,123
2017-07-08 12:05:57,127
2017-07-08 12:06:02,128
2017-07-08 12:06:07,125
2017-07-08 12:06:12,118
2017-07-08 12:06:27,117
2017-07-08 12:06:32,118
2017-07-08 12:06:37,121
2017-07-08 12:06:47,119
2017-07-08 12:06:52,116
2017-07-08 12:06:57,118
2017-07-08 12:07:02,119
2017-07-08 12:07:09,119
2017-07-08 12:07:14,120
2017-07-08 12:07:19,119
2017-07-08 12:07:24,118
2017-07-08 12:07:29,117
2017-07-08 12:07:34,113
2017-07-08 12:07:39,111
2017-07-08 12:07:49,110
2017-07-08 12:07:54,111
2017-07-08 12:07:59,109
2017-07-08 12:08:04,108
2017-07-08 12:08:09,111
2017-07-08 12:08:14,109
2017-07-08 12:08:19,103
2017-07-08 12:08:24,96
2017-07-08 12:08:29,90
2017-07-08 12:08:34,96
2017-07-08 12:08:39,99
2017-07-08 12:08:44,100
2017-07-08 12:08:49,101
2017-07-08 12:08:54,102
2017-07-08 12:08:59,99
2017-07-08 12:09:04,98
2017-07-08 12:09:19,93
2017-07-08 12:09:29,96
2017-07-08 12:09:34,98
2017-07-08 12:09:39,100
2017-07-08 12:09:45,101
2017-07-08 12:09:50,98
2017-07-08 12:09:55,101
2017-07-08 12:10:05,101
2017-07-08 12:10:10,100
2017-07-08 12:10:15,95
2017-07-08 12:10:20,94
2017-07-08 12:10:25,98
2017-07-08 12:10:30,99
2017-07-08 12:10:45,101
2017-07-08 12:10:50,102
2017-07-08 12:10:55,103
2017-07-08 12:11:00,107
2017-07-08 12:11:05,110
2017-07-08 12:11:20,111
2017-07-08 12:11:25,109
2017-07-08 12:11:35,107
2017-07-08 12:11:40,106
2017-07-08 12:11:45,102
2017-07-08 12:11:50,101
2017-07-08 12:12:00,98
2017-07-08 12:12:10,99
2017-07-08 12:12:20,98
2017-07-08 12:12:25,99
2017-07-08 12:12:40,101
2017-07-08 12:12:45,97
2017-07-08 12:12:50,94
2017-07-08 12:12:57,94
2017-07-08 12:13:07,98
2017-07-08 12:13:12,101
2017-07-08 12:13:17,103
2017-07-08 12:13:22,107
2017-07-08 12:13:27,108
2017-07-08 12:13:32,103
2017-07-08 12:13:37,101
2017-07-08 12:13:47,102
2017-07-08 12:13:52,107
2017-07-08 12:13:57,109
2017-07-08 12:14:02,113
2017-07-08 12:14:07,116
2017-07-08 12:14:12,117
2017-07-08 12:14:22,118
2017-07-08 12:14:27,120
2017-07-08 12:14:32,123
2017-07-08 12:14:37,122
2017-07-08 12:14:42,116
2017-07-08 12:14:47,118
2017-07-08 12:14:52,119
2017-07-08 12:15:02,123
2017-07-08 12:15:07,122
2017-07-08 12:15:12,120
2017-07-08 12:15:17,118
2017-07-08 12:15:22,117
2017-07-08 12:15:27,123
2017-07-08 12:15:34,123
2017-07-08 12:15:44,122
2017-07-08 12:15:49,117
2017-07-08 12:15:54,115
2017-07-08 12:15:59,110
2017-07-08 12:16:04,107
2017-07-08 12:16:09,108
2017-07-08 12:16:14,111
2017-07-08 12:16:19,113
2017-07-08 12:16:29,110
2017-07-08 12:16:44,111
2017-07-08 12:16:49,116
2017-07-08 12:16:54,121
2017-07-08 12:16:59,124
2017-07-08 12:17:09,121
2017-07-08 12:17:19,116
2017-07-08 12:17:24,110
2017-07-08 12:17:29,103
2017-07-08 12:17:34,97
2017-07-08 12:17:39,97
2017-07-08 12:17:44,95
2017-07-08 12:17:54,98
2017-07-08 12:17:59,99
2017-07-08 12:18:04,101
2017-07-08 12:18:14,102
2017-07-08 12:18:19,101
2017-07-08 12:18:24,100
2017-07-08 12:18:30,101
2017-07-08 12:18:35,95
2017-07-08 12:18:50,95
2017-07-08 12:18:55,96
2017-07-08 12:19:00,96
2017-07-08 12:19:05,96
2017-07-08 12:19:10,90
2017-07-08 12:19:15,89
2017-07-08 12:19:20,95
2017-07-08 12:19:30,94
2017-07-08 12:19:35,96
2017-07-08 12:19:40,98
2017-07-08 12:19:55,98
2017-07-08 12:20:10,98
2017-07-08 12:20:15,98
2017-07-08 12:20:30,98
2017-07-08 12:20:45,114
2017-07-08 12:20:50,119
2017-07-08 12:21:05,117
2017-07-08 12:21:10,115
2017-07-08 12:21:15,114
2017-07-08 12:21:25,113
2017-07-08 12:21:30,114
2017-07-08 12:21:35,114
2017-07-08 12:21:50,114
2017-07-08 12:21:51,114
2017-07-08 12:22:06,114
2017-07-08 12:22:11,115
2017-07-08 12:22:16,108
2017-07-08 12:22:21,104
2017-07-08 12:22:26,99
2017-07-08 12:22:31,98
2017-07-08 12:22:36,99
2017-07-08 12:22:51,99
2017-07-08 12:23:06,99
2017-07-08 12:23:16,103
2017-07-08 12:23:31,103
2017-07-08 12:23:41,100
2017-07-08 12:23:46,101
2017-07-08 12:23:51,102
2017-07-08 12:23:56,103
2017-07-08 12:24:06,104
2017-07-08 12:24:11,105
2017-07-08 12:24:16,106
2017-07-08 12:24:21,107
2017-07-08 12:24:26,106
2017-07-08 12:24:41,106
2017-07-08 12:24:56,107
2017-07-08 12:25:01,108
2017-07-08 12:25:06,110
2017-07-08 12:25:11,114
2017-07-08 12:25:16,113
2017-07-08 12:25:23,114
2017-07-08 12:25:38,113
2017-07-08 12:25:43,111
2017-07-08 12:25:48,114
